Player;90s_played;Assist;xAG
Thiago Alcántara;13.9;0;1.1
Trent Alexander-Arnold;32.5;9;11.5
Alisson;37.0;1;0.3
Stefan Bajcetic;5.8;0;0.4
Fabio Carvalho;3.9;0;0.1
Bobby Clark;0.1;0;0.0
Luis Díaz;11.1;2;1.5
Ben Doak;0.3;0;0.0
Harvey Elliott;17.9;2;3.6
Fabinho;29.7;2;2.1
Roberto Firmino;13.5;4;2.5
Cody Gakpo;16.2;2;2.7
Joe Gomez;16.3;0;0.2
Jordan Henderson;23.0;2;3.2
Curtis Jones;11.5;1;1.1
Diogo Jota;12.6;4;2.1
Naby Keïta;3.3;0;0.7
Caoimhín Kelleher;1.0;0;0.0
Ibrahima Konaté;17.2;0;0.1
Joël Matip;12.1;0;0.3
James Milner;10.1;1;0.9
Darwin Núñez;18.8;3;5.4
Alex Oxlade-Chamberlain;3.7;0;0.9
Nathaniel Phillips;0.7;0;0.0
Andrew Robertson;28.7;8;6.1
Mohamed Salah;36.6;12;7.7
Kostas Tsimikas;8.6;4;1.6
Virgil van Dijk;31.5;1;1.2
